sku,store,attribute_set,type,category,root_category,product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,meta_title,minimal_price,msrp,name,thumbnail,thumbnail_label,short_description,price,special_price,btw,qty,grape,wine_year,,type_of_wine,wine_region,wine_appellation,wine_chateau,wine_classification,wine_drinkstaduim,wine_flavor_type,wine_score,wine_resources_score,weight,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
42,,Default,simple,Wijnen,Root Catalog,base,,,Frankrijk,,,,,,"De zeer goede ligging van dit kleine wijngoed (slechts 5ha) en de uitstekende kwaliteit van haar wijnen was Alain Lancerau van Château Bellevue Gazin al opgevallen. Onder zijn hoede is die kwaliteit nog meer verbeterd en is er aandacht gegeven aan de presentatie. Het château kijkt uit over de Gironde in Blaye. De wijnen worden op eiken vaten gelagerd en zijn vol en geconcentreerd, met een goede prijs/kwaliteit verhouding.",,,,Château Lers Loumède - Premières Côtes de Blaye,,,"Een stevige rode Bordeaux met donker fruit, zoethout en een vleugje geroosterde koffie. Lekker bij geroosterd vlees.",6.85,,21,30,"Merlot, Cabernet Sauvignon",2008,,Rood,Bordeaux,Côtes de Blaye,Château Lers Loumède,,Op dronk,Krachtig en complex,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"Mooi, licht goudgeel van kleur, complex, rijk en geurig met een intense, volle en krachtige smaak. Tonen van rijpe perziken en abrikozen met een tintje kruidigheid.",,,,Alain Paret Pastourou,,,"Aangename droge witte wijn van 100% viognier, door Alain Paret geselecteerd uit de Pays d'Oc.",6.85,,21,120,Viognier,2011,,Wit,Pays d'Oc,,Alain Paret,,Op dronk,Licht en fruitig,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"De Beaujolais is een schitterend wijngebied. Het bestaat uit een aaneenschakeling van prachtige groene heuvels, serene dalen en oer-oude dorpen met een echte Franse sfeer. De wijnranken beheersen het gebied dat doorsneden wordt door de rivieren de Rhône en de Saône.
De Beaujolais wijnen worden gemaakt, 'gevinifieerd', van de charmante en smaakvolle Gamay-druif (noir à jus blanc) - een zwarte druif met helder sap. Château des Maladrets ligt ten zuiden van Brouilly tegenover een steengroeve waar puur graniet gewonnen wordt. De wijngaarden hebben dan ook een ondergrond van graniet bedekt met kalkrijke klei. Claude Ratigner en zijn team maken hier een ambachtelijke en traditionele Beaujolais Villages. Altijd mooi gestructureerd en fruitig. En wat bijzonder is voor Beaujolais Villages: deels gerijpt op houten vaten. Kersenrood van kleur. Een haast bedwelmende volle neus met aroma’s van klein rood fruit. In de mond sappige bramen en rode bessen, veel finesse met zachte tannines en een elegante, mooi aanhoudende afdronk. Om jong te drinken, aanbevolen vóór 2015. ",,,,Beaujolais Villages Château des Maladrets,,,Château des Maladrets ligt tegenover een steengroeve waar puur graniet gewonnen wordt. Claude Ratigner en zijn team maken hier een ambachtelijke en traditionele Beaujolais Villages.,6.95,,21,0,Gamay,2011,,Rood,Beaujolais,Beaujolais Villages,Château des Maladrets,,Op dronk,Licht en fruitig,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"Château de Lugagnac dateert uit de 100-jarige oorlog en bestaat uit verschillende oude wijngaarden in het gebied waar de Dordogne en de Garonne samenkomen. Deze Bordeaux Supérieur uit 2009 is op het Concours de Bordeaux 2011 met een gouden medaille bekroond. De wijn is samengesteld uit 50% Merlot en 50% Cabernet Sauvignon en opgevoed op eiken vaten. Het resultaat is een aromatische, krachtige wijn met een goede structuur. Mooi fris, met nuances van bramen en pruimen en een vleugje kruidigheid in de afdronk. Heerlijk om nu al te drinken.",,,,Château Bellevue-Lugagnac - Bordeaux Supérieur,,,"Aromatische, krachtige wijn met een goede structuur. Mooi fris, met nuances van bramen en pruimen en een vleugje kruidigheid in de afdronk. 50% cabernet sauvignon, 50% merlot.",6.95,,21,198,"Merlot, Cabernet Sauvignon",2009,,Rood,Bordeaux,Bordeaux Supérieur,Château Bellevue-Lugagnac,,Op dronk,Vol en soepel,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"Een mix van 70% Merlot, 20% Cabernet Sauvignon en 10% Cabernet Franc. Deze gouden medaille winnaar (Parijs 2011) beschikt over aangename aroma's van pruimen, bessen en kersen met een vleugje thee. Het is een droge, vrij stevige wijn met aroma's van cassis en wilde bramen en een vleugje eiken. Aanbevolen om 1 tot 2 uur te decanteren.",,,,Château de la Lambertie,,,"Rode wijn in de stijl van een klassieke Bordeaux, droog en stevig met tannines, cassisfruit, wilde bramen en een vleugje eiken. Lekker bij biefstuk en kalfsvlees.",6.95,,21,30,"Merlot, Cabernet Sauvignon, Cabernet Franc",2008,,Rood,Bordeaux,Bordeaux,Château de la Lambertie,,Op dronk,Vol en soepel,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,Default,simple,Wijnen,Root Catalog,base,,,Frankrijk,,,,,,"Een elegante en intense wijn met aroma's van cassis en zwarte kersen met een peperige toets. Volop fruit in de mond, nuances van bramen en zoethout. Rond en krachtig, goed te combineren met bijvoorbeeld wildgerechten.",,,,Château Grenet,,,"Een ronde, krachtige rode Bordeaux met volop donker fruit, een vleugje peper en een verrassende frisheid. Gouden medaille op het wijnconcours in Parijs 2011.",6.95,,21,24,"Merlot, Cabernet Sauvignon",2010,,Rood,Bordeaux,Bordeaux,Château Grenet,,Op dronk,Vol en soepel,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"Domaine Matray is al vijf generaties een familiebedrijf, gelegen in Juliénas. Naast verschillende cru's wordt hier ook een Beaujolais rosé gemaakt, uiteraard van de gamay druif. Elegant, levendig en fruitig.",,,,Domaine Matray Beaujolais Rosé,,,Alle rode wijnen uit de Beaujolais zijn gemaakt van de gamay noir à jus blanc; door het lichte sap kort met de schil in contact te brengen maak je daar ook een fruitige rosé van.,6.95,,21,18,Gamay,2011,,Rosé,Beaujolais,Beaujolais,Domaine Matray,,Op dronk,Licht en fruitig,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"Karaktervol en droog. Past goed bij vis en schaaldieren, wit vlees of gevogelte en niet te vergeten de specialiteit uit de Elzas “Zuurkool”. Nu al mooi op dronk maar ook geschikt om nog enkele jaren te “ouderen”. Vanouds de Zwaan betrekt haar Elzaswijnen al jaren van het wijnhuis Hubert Beck, een familiebedrijf dat al sinds 1596 actief is in de wijnbouw. Het is nu de twaalfde generatie van de familie Beck die voor topkwaliteit zorgt, opgebouwd en verkregen door eeuwenlange traditie en ervaring.",,,,Hubert Beck Riesling,,,"Er is geen druif die zo in staat is om terroirnuances tot uitdrukking te brengen als de riesling. Een droge wijn met frisse zuren, goed uitkomende mineraliteit en florale tonen.",6.95,,21,0,Riesling,2011,,Wit,Alsace,,Hubert Beck,,Op dronk,Fris en droog,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,Default,simple,Wijnen,Root Catalog,base,,,Frankrijk,,,,,,"Een rijk bouquet van zwarte bessen met een vleugje leder. Soepel en rond in de mond. Goed geconcentreerd met een stevige structuur verkregen door houtrijping. Fruit en tannine perfect in balans. Een wijn van grote klasse. Ten minste houdbaar tot 2018. 89/100 punten van Wine Spectator. De wijngaarden van Alain Paret liggen in de Noordelijke Rhône op steile
hellingen. Het ruige landschap brengt met zich mee dat de wijngaarden op terrassen
liggen en daardoor klein zijn. Ze zijn veelal omgeven door mediterrane struiken die een ongerept bestaan leiden op de steile hellingen tussen deze plateaus, zoals wilde tijm,
laurier, rozemarijn, lavendel, mint en venkel. Dit is karakteristiek voor deze bodem en
deze kruidigheid vindt men dan ook terug in de wijn.
",,,,Alain Paret Valvigneyre Rouge,,,Een schitterende rode wijn uit de Noordelijke Rhône gemaakt van 100% syrah. Puur ambachtelijk en eerlijk bereid door Alain Paret.,6.95,,21,246,Syrah,2010,,Rood,Côtes du Rhône,,Alain Paret,,"Op dronk, zeker 5 jaar op te leggen",Krachtig en complex,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,Default,simple,Wijnen,Root Catalog,,,,Frankrijk,,,,,,"Muscat is een zeer aromatische druif die in de Elzas droge, licht zoete wijnen oplevert. Tonen van perzik, abrikozen en een vleugje mandarijn. Bij het drinken heeft men het gevoel in verse druiven te bijten. Uiterst geschikt om als aperitief te drinken. Past goed bij groenteschotels en asperges.Vanouds de Zwaan betrekt haar Elzaswijnen al jaren van het wijnhuis Hubert Beck, een familiebedrijf dat al sinds 1596 actief is in de wijnbouw. Het is nu de twaalfde generatie van de familie Beck die voor topkwaliteit zorgt, opgebouwd en verkregen door eeuwenlange traditie en ervaring.",,,,Hubert Beck Muscat,,,"Muscat is een bijzonder lastige en uiterst gevoelige druif en daarom maar weinig aangeplant. Hubert Beck maakt er een zeer verrassende frisse, enigszins zoete wijn van boordevol fruit.",7.25,,21,0,Muscat,2011,,Wit,Alsace,,Hubert Beck,,Op dronk,"Weelderig, licht zoet",,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"De Alsace - in Nederland vaak geschreven als Elzas - is Frankrijks meest oostelijke wijngebied. Hier worden vooral witte wijnen gemaakt. De wijngaarden liggen in een smal, langgerekt lint op de oostelijke hellingen van de Vogezen. Alsace wijnen zijn complex en veelzijdig, van verfijnd frisdroog met een aangename, lichte zuurgraad tot aromatisch lichtzoet met een bijpassende lange finale. Hubert Beck maakt van pinot gris een weelderig zoete witte wijn die perfect past bij pastei, wild, wit vlees en geroosterd vlees.",,,,Hubert Beck Pinot Gris,,,"Een karaktervolle weelderige wijn, stevig en rond met een volle afdronk. Complexe aroma’s van rijp tropisch fruit, goede balans tussen zoet en zuur en een weelderige, licht kruidige afdronk.",7.45,,21,90,Pinot Gris,2011,,Wit,Alsace,,Hubert Beck,,Op dronk,Zoet en dessertwijn,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"Een verrassende witte wijn gemaakt van de viognier, marsanne en roussanedruif. Helder lichtgeel van kleur met een verleidelijk bouquet van zacht fruit in combinatie met een lichte kruidigheid. Geurig, elegant en levendig van smaak met fijne vanilletonen en een heerlijke frisheid in de lange afdronk. Jong te drinken of nog enkele jaren op te leggen. De wijngaarden van Alain Paret liggen in de Noordelijke Rhône op steile
hellingen. Het ruige landschap brengt met zich mee dat de wijngaarden op terrassen
liggen en daardoor klein zijn. Ze zijn veelal omgeven door mediterrane struiken die een ongerept bestaan leiden op de steile hellingen tussen deze plateaus, zoals wilde tijm,
laurier, rozemarijn, lavendel, mint en venkel. Dit is karakteristiek voor deze bodem en
deze kruidigheid vindt men dan ook terug in de wijn.",,,,Alain Paret Valvigneyre Blanc,,,"Een verrassende droge witte wijn van voornamelijk viognier, een druif die 40 jaar geleden bijna was uitgestorven in de Rhône. Lekker bij pittige gerechten, bijvoorbeeld Thais.",7.5,,21,120,"Viognier, Marsanne, Roussane",2012,,Wit,Côtes du Rhône,,Alain Paret,,"Op dronk, enkele jaren op te leggen",Licht en fruitig,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"De tijd dat uit de Entre-Deux-Mers alleen dunne en zure witte wijnen vandaan kwamen ligt al ver achter ons. Frisheid, geurigheid en evenwichtigheid typeren 
heden ten dage de goede droge witte wijnen met deze A.C. Het is een interessant gebied met mooie witte wijnen voor een redelijke prijs. La Rose du Pin heeft een stuivend bloemig bouquet, droog fris zurig in de mond met een smaak van groene appeltjes en een klein bittertje in de afdronk. Gemaakt van sauvignon blanc en sémillon.
",,,,Château La Rose du Pin - Entre-Deux-Mers,,,"Knisperend fris en droog, zo hoort een goede witte wijn uit Entre-Deux-Mers te zijn. Stuivend bloemig met een lekker bittertje in de afdronk.",7.55,,21,36,"Sauvignon Blanc, Sémillon",2011,,Wit,Bordeaux,Entre-deux-mers,Château La Rose du Pin,,Op dronk,Fris en droog,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"De bodem in Blaye is over het algemeen erg vruchtbaar, met kalksteen en klei. De beste wijngaarden, waaronder ook die van Château Haut-Perdillot waar deze wijn gemaakt wordt, mogen de AOC Premières Côtes de Blaye voeren en produceren  soepele, fruitige, jong drinkbare wijnen met een bijzonder goede prijs-kwaliteit verhouding. Heldere, dieprode kleur. Intense neus van rode bessen en kreupelhout. In de mond zacht en goed gevuld, zoete kersen, een subtiele eikentoets en soepele tannines. Samenstelling: 75% merlot, 20% cabernet sauvignon en 5% malbec.",,,,Château La Croix de Cabut - Premières Côtes de Blaye,,,"Al lang voor de ontwikkeling van de wijnbouw in de Médoc werd er uit Blaye wijn verscheept. Een soepele, fruitige wijn met een bijzonder goede prijs/kwaliteit verhouding.",7.95,,21,168,"Merlot, Cabernet Sauvignon, Malbec",2009,,Rood,Bordeaux,Premières Côtes de Blaye,Château Haut-Perdillot,,Op dronk,Vol en soepel,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"Deze witte Bordeaux is samengesteld uit sauvignon gris, sauvignon blanc en semillon. Aroma’s van honing en vuursteen, een vet mondgevoel en een explosie van frisheid.",,,,Château Tarreyrots - Bordeaux Blanc,,,"Bijzondere witte Bordeaux met sauvignon gris, een zelden gebruikte druif die deze witte wijn een lekker vet mondgevoel geeft en een explosie van frisheid.",7.95,,21,51,"Sauvignon Gris, Sauvignon Blanc, Sémillon",2010,,Wit,Bordeaux,Bordeaux,Château Tarreyrots,,Op dronk,Romig en elegant,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"Royale en soepele wijn uit de zuidelijke Rhône gemaakt van 70% grenache,15% mourvèdre en 15% syrah. Mooi donkerrood van kleur. Een bouquet van rode en zwarte bessen met tonen van zoethout en specerijen. Lekker vol van smaak, maar wel met een zekere frisheid. Enigszins droppig in de lange afdronk. Nu reeds op dronk maar zeker enkele jaren op te leggen. Heerlijk bij mediterrane gerechten, stoofpot en wild. Vanouds de Zwaan is sinds 2012 de importeur van Cellier des Princes in Nederland. Al sinds 1924 zijn zij de enige coöperatieve wijnmaker in het Châteauneuf du Pape gebied.",,,,Côtes-du-Rhône Villages Cellier des Princes,,,"Het zuiden van het Rhônedal is de warmste streek van Frankrijk. Grenache kan hier een prachtige wijn opleveren, barstend van zoet fruit. Cellier des Princes maakt dat waar, in deze Villages en in de bekende Cru's",7.95,,21,168,"Grenache, Mourvèdre, Syrah",2010,,Rood,Côtes du Rhône,Côtes du Rhône Villages,Cellier des Princes,,"Op dronk, zeker 5 jaar op te leggen",Vol en soepel,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,Default,simple,Wijnen,,,,,Frankrijk,,,,,,"De gewurztraminer is een uiterst aromatische druif, laag in zuren en met een herkenbare kruidigheid. Een gewurztraminer is een goede witte bewaarwijn, waarbij de kruidigheid steeds nadrukkelijker wordt naarmate zijn leeftijd toeneemt. Vanouds de Zwaan betrekt haar Elzaswijnen al jaren van het wijnhuis Hubert Beck, een familiebedrijf dat al sinds 1596 actief is in de wijnbouw. Het is nu de twaalfde generatie van de familie Beck die voor topkwaliteit zorgt, opgebouwd en verkregen door eeuwenlange traditie en ervaring.
",,,,Hubert Beck Gewurztraminer,,,"Een stevige wijn met body. Krachtig en verleidelijk als hij is, zelfs tegen het zachte aan, kan hij prima als aperitief gedronken worden of bij exotische gerechten, stevige kazen of toetjes.",7.95,,21,222,Gewurztraminer,2011,,Wit,Alsace,,Hubert Beck,,Op dronk,"Weelderig, licht zoet",,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,Default,simple,Wijnen,Root Catalog,base,,,Frankrijk,,,,,,"Diep donkerrood van kleur. Een bouquet van klein zwart fruit, leder en kruiden.
Door het toevoegen van een beetje grenache komt het zwarte fruit van de syrah geuriger en fruitiger over. Dik, royaal en soepel in de mond met een stevige afdronk.
",,,,Alain Paret Côtes-du-Rhône Villages,,,"Een wijn van hoge kwaliteit uit de Zuidelijke Rhône speciaal geselecteerd door Alain Paret. Gemaakt van syrah en grenache, zes maanden gerijpt op eiken vaten.
",7.95,,21,120,"Syrah, Grenache",2011,,Rood,Côtes du Rhône,Côtes du Rhône Villages,Alain Paret,,"Op dronk, zeker 5 jaar op te leggen",Vol en soepel,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
